Week,Fabric Type,Sales Volume
2025-11-30,wool,40.5
2025-12-31,wool,47.0
2026-01-31,wool,46.8
2026-02-28,wool,50.0
2026-03-31,wool,82.5
2026-04-30,wool,34.0
2026-05-31,wool,30.4
2026-06-30,wool,26.0
2026-07-31,wool,26.0
2026-08-31,wool,22.0
2026-09-30,wool,20.5
2026-10-31,wool,30.5
2026-11-30,wool,34.4
2026-12-31,wool,40.5
2027-01-31,wool,47.0
2027-02-28,wool,46.8
2027-03-31,wool,50.0
2027-04-30,wool,82.5
2027-05-31,wool,34.0
2027-06-30,wool,30.4
2027-07-31,wool,26.0
2027-08-31,wool,26.0
2027-09-30,wool,22.0
2027-10-31,wool,20.5
2027-11-30,wool,30.5
